,Unnamed: 0,Curve,ID,IG,IS,Iteration,L,Temperature,Thickness,VD,VG,VS,W,absID,absIG,file,gm2,sqrtID,logabsID,Name
7987,7987,Transfer lin,5.36e-13,-1.0392000000000002e-11,6.611000000000003e-12,1,10,300,250,0.1,-0.55,0,10,5.36e-13,1.0392000000000002e-11,Transfer lin [250-300-10-10(1) _bad-wrong_; 02_05_2019 09_59_16].csv0,2.2301962955123947e-12,7.32120208708925e-07,-12.270835210307231,300-250-10.0-10.0
7988,7988,Transfer lin,7.299999999999999e-14,-1.0672000000000001e-11,6.059000000000001e-12,1,10,300,250,0.1,-0.5,0,10,7.299999999999999e-14,1.0672000000000001e-11,Transfer lin [250-300-10-10(1) _bad-wrong_; 02_05_2019 09_59_16].csv0,2.983871098861607e-13,2.701851217221259e-07,-13.136677139879543,300-250-10.0-10.0
7989,7989,Transfer lin,4.590000000000001e-13,-8.667000000000001e-12,5.152000000000001e-12,1,10,300,250,0.1,-0.45,0,10,4.590000000000001e-13,8.667000000000001e-12,Transfer lin [250-300-10-10(1) _bad-wrong_; 02_05_2019 09_59_16].csv0,5.5591880149839005e-12,6.77495387438173e-07,-12.338187314462738,300-250-10.0-10.0
7990,7990,Transfer lin,2.56e-13,-8.603999999999997e-12,3.8430000000000005e-12,1,10,300,250,0.1,-0.4,0,10,2.56e-13,8.603999999999997e-12,Transfer lin [250-300-10-10(1) _bad-wrong_; 02_05_2019 09_59_16].csv0,2.0201456344999048e-11,5.059644256269408e-07,-12.591760034688152,300-250-10.0-10.0
7991,7991,Transfer lin,5.200000000000001e-14,-7.0190000000000015e-12,2.374e-12,1,10,300,250,0.1,-0.35000000000000003,0,10,5.200000000000001e-14,7.0190000000000015e-12,Transfer lin [250-300-10-10(1) _bad-wrong_; 02_05_2019 09_59_16].csv0,2.417851508761333e-15,2.280350850198276e-07,-13.283996656365199,300-250-10.0-10.0
7992,7992,Transfer lin,2.61e-13,-6.576e-12,3.611e-12,1,10,300,250,0.1,-0.3,0,10,2.61e-13,6.576e-12,Transfer lin [250-300-10-10(1) _bad-wrong_; 02_05_2019 09_59_16].csv0,1.6831375565030874e-12,5.10881590977792e-07,-12.583359492661721,300-250-10.0-10.0
7993,7993,Transfer lin,1.2799999999999998e-13,-5.349000000000001e-12,2.365e-12,1,10,300,250,0.1,-0.25,0,10,1.2799999999999998e-13,5.349000000000001e-12,Transfer lin [250-300-10-10(1) _bad-wrong_; 02_05_2019 09_59_16].csv0,3.101045086450344e-13,3.5777087639996637e-07,-12.892790030352133,300-250-10.0-10.0
7994,7994,Transfer lin,3.2100000000000005e-13,-5.102000000000001e-12,2.147e-12,1,10,300,250,0.1,-0.2,0,10,3.2100000000000005e-13,5.102000000000001e-12,Transfer lin [250-300-10-10(1) _bad-wrong_; 02_05_2019 09_59_16].csv0,1.0269597158070076e-11,5.665686189686118e-07,-12.493494967595126,300-250-10.0-10.0
7995,7995,Transfer lin,4.600000000000001e-13,-3.2980000000000007e-12,3.6590000000000005e-12,1,10,300,250,0.1,-0.15,0,10,4.600000000000001e-13,3.2980000000000007e-12,Transfer lin [250-300-10-10(1) _bad-wrong_; 02_05_2019 09_59_16].csv0,1.0610441557254908e-11,6.782329983125269e-07,-12.337242168318427,300-250-10.0-10.0
7996,7996,Transfer lin,5.799999999999999e-14,-2.407e-12,9.220000000000001e-13,1,10,300,250,0.1,-0.1,0,10,5.799999999999999e-14,2.407e-12,Transfer lin [250-300-10-10(1) _bad-wrong_; 02_05_2019 09_59_16].csv0,1.4970822845693845e-12,2.408318915758459e-07,-13.236572006437065,300-250-10.0-10.0
7997,7997,Transfer lin,3.0900000000000005e-13,-2.6060000000000004e-12,-3.64e-13,1,10,300,250,0.1,-0.05,0,10,3.0900000000000005e-13,2.6060000000000004e-12,Transfer lin [250-300-10-10(1) _bad-wrong_; 02_05_2019 09_59_16].csv0,1.7786366549701674e-11,5.558776843874919e-07,-12.510041520575163,300-250-10.0-10.0
7998,7998,Transfer lin,4.390000000000001e-13,-7.800000000000003e-13,-1.185e-12,1,10,300,250,0.1,0.0,0,10,4.390000000000001e-13,7.800000000000003e-13,Transfer lin [250-300-10-10(1) _bad-wrong_; 02_05_2019 09_59_16].csv0,1.4123472474744893e-12,6.625707509390978e-07,-12.357535479757876,300-250-10.0-10.0
7999,7999,Transfer lin,1.91e-13,1.385e-12,-2.081e-12,1,10,300,250,0.1,0.05,0,10,1.91e-13,1.385e-12,Transfer lin [250-300-10-10(1) _bad-wrong_; 02_05_2019 09_59_16].csv0,1.9890746697745337e-12,4.370354676682432e-07,-12.718966632752274,300-250-10.0-10.0
8000,8000,Transfer lin,2.72e-13,1.804e-12,-5.861000000000001e-12,1,10,300,250,0.1,0.1,0,10,2.72e-13,1.804e-12,Transfer lin [250-300-10-10(1) _bad-wrong_; 02_05_2019 09_59_16].csv0,4.015706441843368e-12,5.215361924162119e-07,-12.5654310959658,300-250-10.0-10.0
8001,8001,Transfer lin,5.6e-14,3.217e-12,-4.8080000000000005e-12,1,10,300,250,0.1,0.15,0,10,5.6e-14,3.217e-12,Transfer lin [250-300-10-10(1) _bad-wrong_; 02_05_2019 09_59_16].csv0,2.530386356521933e-13,2.3664319132398466e-07,-13.251811972993801,300-250-10.0-10.0
8002,8002,Transfer lin,3.27e-13,4.128e-12,-3.778e-12,1,10,300,250,0.1,0.2,0,10,3.27e-13,4.128e-12,Transfer lin [250-300-10-10(1) _bad-wrong_; 02_05_2019 09_59_16].csv0,4.293334391198589e-12,5.718391382198318e-07,-12.485452247339715,300-250-10.0-10.0
8003,8003,Transfer lin,1.9699999999999997e-13,5.892e-12,-5.79e-12,1,10,300,250,0.1,0.25,0,10,1.9699999999999997e-13,5.892e-12,Transfer lin [250-300-10-10(1) _bad-wrong_; 02_05_2019 09_59_16].csv0,1.0422640571850774e-11,4.4384682042344294e-07,-12.705533773838408,300-250-10.0-10.0
8004,8004,Transfer lin,6.2e-14,6.8500000000000025e-12,-7.636e-12,1,10,300,250,0.1,0.3,0,10,6.2e-14,6.8500000000000025e-12,Transfer lin [250-300-10-10(1) _bad-wrong_; 02_05_2019 09_59_16].csv0,3.2821956436717644e-12,2.4899799195977466e-07,-13.207608310501744,300-250-10.0-10.0
8005,8005,Transfer lin,-6.900000000000001e-14,7.228e-12,-8.222000000000001e-12,1,10,300,250,0.1,0.35000000000000003,0,10,6.900000000000001e-14,7.228e-12,Transfer lin [250-300-10-10(1) _bad-wrong_; 02_05_2019 09_59_16].csv0,2.9078962284790453e-12,2.6267851073127395e-07,-13.161150909262743,300-250-10.0-10.0
8006,8006,Transfer lin,1.76e-13,9.078e-12,-9.703e-12,1,10,300,250,0.1,0.4,0,10,1.76e-13,9.078e-12,Transfer lin [250-300-10-10(1) _bad-wrong_; 02_05_2019 09_59_16].csv0,3.3822430974223205e-14,4.1952353926806064e-07,-12.75448733218585,300-250-10.0-10.0
8007,8007,Transfer lin,7.9e-14,9.801e-12,-1.0589e-11,1,10,300,250,0.1,0.45,0,10,7.9e-14,9.801e-12,Transfer lin [250-300-10-10(1) _bad-wrong_; 02_05_2019 09_59_16].csv0,5.013334979830437e-12,2.810693864511039e-07,-13.102372908709556,300-250-10.0-10.0
8008,8008,Transfer lin,4.140000000000001e-13,1.1279000000000002e-11,-1.1786000000000002e-11,1,10,300,250,0.1,0.5,0,10,4.140000000000001e-13,1.1279000000000002e-11,Transfer lin [250-300-10-10(1) _bad-wrong_; 02_05_2019 09_59_16].csv0,6.01419259171722e-12,6.434283176858165e-07,-12.382999658879099,300-250-10.0-10.0
